what,kind,bundleId,bundleVersion,description,time
java.vm.version,sysinfo,,,"20.1-b02",1335770229064
started,bundle,org.eclipse.m2e.usagedata,1.0.200.20111228-1245,"org.eclipse.m2e.usagedata",1335770229066
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1335770308472
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1335770308531
opened,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1335770360121
started,bundle,com.android.ide.eclipse.ddms,18.0.0.v201203301601-306762,"com.android.ide.eclipse.ddms",1335770866803
started,bundle,org.eclipse.wst.sse.core,1.1.602.v201112071516,"org.eclipse.wst.sse.core",1335770866857
started,bundle,org.eclipse.wst.sse.ui,1.3.2.v201201041522,"org.eclipse.wst.sse.ui",1335770866863
started,bundle,org.eclipse.wst.xml.ui,1.1.202.v201112071516,"org.eclipse.wst.xml.ui",1335770866864
started,bundle,com.android.ide.eclipse.traceview,18.0.0.v201203301601-306762,"com.android.ide.eclipse.traceview",1335770869849
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1335771042874
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1335771047826
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1335771430313
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1335771431387
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1335771794271
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1335771795689
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1335771841834
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1335771843069
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1335771844773
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1335771845591
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1335771856420
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1335771857053
